	access	pvalue	logfc	pos
0	158489.0	1.3584539709124763	0.15422811271028752	normal
1	442616758.0	2.736965594166206	0.11886458889610681	normal
2	349669.0	1.5563933485243853	0.07177400967246954	normal
3	320544370.0	1.286304185156641	0.2302921646604907	normal
4	161077523.0	1.7858751946471527	0.07018000193283447	normal
5	24648576.0	0.16812275880832692	0.010009790954705406	normal
6	320545678.0	2.1202942337177118	0.14187715852457963	normal
7	17137000.0	2.5563933485243853	0.08571211320658269	normal
8	442625663.0	5.058893689053568	0.16633142176652496	normal
9	17647529.0	6.671531148217573	-0.10179893310003742	normal
10	386771285.0	2.321928094887362	0.07918124604762482	normal
