	access	pvalue	logfc	pos
185	25013110.0	6.643856189774724	-0.28017985669086104	normal
186	25013040.0	0.5777669993169522	-0.021871196543118462	normal
187	116008420.0	1.3959286763311392	-0.03719968692540965	normal
188	442629130.0	0.5145731728297583	0.010812869282217433	normal
189	19921734.0	0.3770696490798233	-0.015732956463584188	normal
190	17136646.0	0.23446525363702297	-0.018988575556605776	normal
191	17137540.0	0.15200309344504997	0.015456951063825273	normal
192	24645441.0	0.10469737866669322	0.004653199677617289	normal
193	225008676.0	0.3959286763311392	-0.03198705220443976	normal
194	24583944.0	0.9159357352115255	0.04206134500071137	normal
195	18860063.0	-0.0	-0.005908859610520328	normal
196	24652322.0	0.47393118833241243	-0.019183316372339446	normal
197	320544858.0	0.6896598793878495	0.0858537733177312	normal
198	17864482.0	0.47393118833241243	0.01780955841855747	normal
