Accession	p-value	fold_change
20129897	0.2	1.310035842293907
19921000	0.06	0.7339449541284404
281363687	0.51	0.8695652173913043
157564	0.81	1.0235294117647058
21357475	0.23	1.2072538860103628
17136248	0.36	1.1503267973856208
20128923	0.15	1.1894736842105262
62862338	0.74	1.0403726708074534
38047747	0.36	1.118320610687023
21355751	0.25	1.4224489795918367
24647510	0.59	0.7971014492753623
17137794	0.22	4.5133689839572195
24586460	0.81	0.9699570815450643
24643988	0.19	1.1415204678362574
17136632	0.19	1.3805309734513274
17864392	0.45	1.1333333333333333
21356979	0.64	1.206451612903226
24653497	0.5	1.4333333333333333
24645047	0.42	0.8766233766233766
21358555	0.09	0.748159057437408
24667139	0.00198	0.55765595463138
17647245	0.18	1.3706896551724137
24658560	0.65	0.9564676616915423
161076367	0.28	1.199288256227758
11176	0.03	1.4037735849056603
8290	0.29	1.174721189591078
157747	0.73	1.0776053215077606
24650984	0.71	0.8740157480314961
24665395	0.45	1.085561497326203
24667974	0.79	0.9214285714285714
40215795	0.23	1.103734439834025
24584736	0.22	1.186206896551724
2381492	0.63	1.0928792569659442
442617920	0.06	0.7226890756302521
45550715	0.15	0.8949771689497716
386765872	0.58	1.069879518072289
21356859	0.91	1.0492957746478873
24655311	0.43	1.1275510204081634
17647183	0.08	1.065432098765432
17864292	0.39	0.9516129032258065
157978	0.37	1.9544846050870148
17864514	0.12	1.3343465045592706
21355167	0.88	1.025974025974026
442622127	0.86	1.0392156862745099
28574889	0.14	1.2122241086587435
25012528	0.05	1.2448680351906158
24640124	0.24	0.8339622641509434
790585	0.28	1.132882882882883
28574061	0.31	1.1991434689507494
24584738	0.25	1.2121212121212122
40215555	0.71	1.029126213592233
24762445	0.22	0.8909899888765295
18857967	0.29	1.0576923076923077
260310481	0.83	0.9533678756476683
7025386	0.84	1.0192572214580469
17136796	0.98	0.9893048128342246
161076460	0.93	1.0047846889952152
24583962	0.8	1.077319587628866
24653595	0.21	0.8299319727891157
